Name,Reactions,Comments,Reposts,Content,Date
Sandu Baciu,1,1 comment,,"A Tribute to the Great Masters of Fantasy Art and ComicsWith AI revolutionizing almost everything, there is an incredible influx of mixed-bag image outputs in the styles of different artists. Some are so obvious as Moebius, some have a more painterly style like Frazetta or Vallejo, and some are just simply great comic pencilers or inkers like Buscema, but with colors!You can combine your idea with an artistic medium (say, oil paint or watercolor) and an inker reference, and the results are opening new gates of creativity. I noticed that sometimes, even if an artist is not mentioned, if you explain the mood, light, or even the composition, AI will probably find and use references from great masters.We are already at an accelerated pace of hybrid art creation, and I will not be surprised if the loop effect comes into play as well, with artists start doing drafts with AI and refining by hand for final images.Time will tell the ways to go..Enjoy!🙏Check my YouTube videos (and thanks to subscribe 🤗 )Sci-Fi YouTube link :https://lnkd.in/eiBTNc42My books:https://lnkd.in/e3XBDabz#ai#midjourney#architecture#interiordesign#stone#fun#midjourneyarchitecture#midjourneyai#architect#archdaily#artificialinspiration#aidesign#asce#dailymidjourney#neural_architecture#neuralarchitecture#artificialintelligence#people#robots#robotics#aicccreators#aiccdailytheme#midjourneyartwork#aiartdailytheme#artificialintelligenceartActivate to view larger image,",11 minutes ago
Alessia Pizzi,0,,,"In the common imagination, ""the chosen one"" evokes both the big and small screen, between demon-children and blonde and athletic vampire slayers. In Sulpicia's case, the story is a bit sadder because it highlights the loneliness of a poetess in ancient Rome, but above all it highlights the difficulty of critics to recognize this woman's literary talent. (Beautiful cover image from Midjourney) 💕#femalevoices#substacknewsletter#journalism#gendergap#woman",11 minutes ago
SAX LOGISTICA DE SHOWS E EVENTOS LTDA,0,,,"Muito provavelmente você conhece o ChatGPT, o DALL-E ou alguma outra Inteligência Artificial que vem fazendo sucesso pela internet.Seu sucesso não é à toa! Elas realmente são muito úteis e nos ajudam bastante no dia a dia mas, você sabia que elas também estão ajudando a otimizar os roteamentos e os agendamentos de transporte na logística internacional?Pois é, e caso você queira saber como, basta acessar nosso blog que preparamos um texto completinho sobre o assunto para você!Link:https://lnkd.in/dvbbaSeC#behindthemagic#IA#inteligenciaartificial#chatgpt#dalle#logistica#IAlogistics#midjourney#logistica#comex",12 minutes ago
Justine Barnes,0,,,"New generative AI tools are coming to#GoogleCloudand#GoogleWorkspace, giving individuals, devs, and businesses alike the power to do more. Learn more via Bloomberg",12 minutes ago
Irfan Faiz 🥇Expert UI/UX Designer,1,1 comment,,"What is OpenAI GPT4?OpenAI's next language model, GPT-4, will be multimodal, working in different modalities including text, speech, images and video, according to Andreas Braun, CTO of Microsoft Germany. This is a major update to GPT-3, which only works with one mode, text. GPT-4 promises to offer entirely different possibilities, including video.OpenAI's upcoming GPT-4 language model is said to work on all languages, able to take questions in one language and answer them in another. The model's ability to draw knowledge from different languages is considered a breakthrough, allowing it to provide answers in the language in which the question was asked. The multimodal capabilities of GPT-4 will make it a complete language model.Are you excited about GPT4?#gpt4#gpt3#chatgpt#openai#micorsoft#ai#conversationalai#openai#midjourney#opensea#aiart#robot#communications#aivideo#aimessages#work#video#microsoft#language#mode#mode",14 minutes ago
Irfan Faiz 🥇Expert UI/UX Designer,1,1 comment,,"What is OpenAI GPT4?OpenAI's next language model, GPT-4, will be multimodal, working in different modalities including text, speech, images and video, according to Andreas Braun, CTO of Microsoft Germany. This is a major update to GPT-3, which only works with one mode, text. GPT-4 promises to offer entirely different possibilities, including video.OpenAI's upcoming GPT-4 language model is said to work on all languages, able to take questions in one language and answer them in another. The model's ability to draw knowledge from different languages is considered a breakthrough, allowing it to provide answers in the language in which the question was asked. The multimodal capabilities of GPT-4 will make it a complete language model.Are you excited about GPT4?#gpt4#gpt3#chatgpt#openai#micorsoft#ai#conversationalai#openai#midjourney#opensea#aiart#robot#communications#aivideo#aimessages#work#video#microsoft#language#mode#mode",14 minutes ago
Kathrin Federer,0,,,"Kann künstliche Intelligenz ein zukünftiger Kreativpartner sein?Mein Artikel «Künstliche Intelligenz als Kreativpartner?» wirft nicht nur ein Licht auf die Möglichkeiten in der KI-Bildgenerierung, sondern beleuchtet auch kritische Aspekte. Veranschaulicht mit einer Vielzahl an Beispielen.#ki#ai#midjourney#kikunst#artificialintelligence#creativedirection#futureoftech#future#ai#aiart#generative#kuenstlicheintelligenz#trends",15 minutes ago
Robin B.,0,,,"New generative AI tools are coming to#GoogleCloudand#GoogleWorkspace, giving individuals, devs, and businesses alike the power to do more. Learn more via Bloomberg",15 minutes ago
Ashley Slaughter,0,,,"How do we unlock the possibilities of human creativity and machine processing with generative AI? Tamarah Usher addresses many common questions surrounding ChatGPT, Midjourney, and more in this post for Slalom Business.#ImWithSlalom",16 minutes ago
Santiago Phoenix,0,,,"ChatGPT is incredible. And I don't think we can ""outcompete it"" - that's stupid.Yesterday I saw a movie about a tribe of Neanderthals who find a Cro-Magnon girl. They hit her and are afraid of her, because she is more advanced and can master tools with more ease.𝐓𝐡𝐚𝐭 𝐡𝐚𝐬 𝐚𝐥𝐰𝐚𝐲𝐬 𝐛𝐞𝐞𝐧 𝐭𝐡𝐞 𝐜𝐨𝐦𝐩𝐞𝐭𝐢𝐭𝐢𝐯𝐞 𝐚𝐝𝐯𝐚𝐧𝐭𝐚𝐠𝐞 𝐨𝐟 𝐡𝐮𝐦𝐚𝐧𝐬: To master tools. Not to be THE tool ourselves.If you are a writer (I am), your superpower is not your ability to type. It is your ability to ideate and connect.And just as the human brain is composed of a reptilian, mammalian, and human (neo-cortex) section... I believe right now we are truly experiencing the birth of a new section of our brains.Only this time it is outside our bodies, it is the AI brain. A super mind we can tap into, and that will become an extension of us.A new type of human is being born... let's not be the old Neanderthals who perished at the hands of change because they rejected the new era. Our superpower has always been creating and mastering tools – so let's learn how to do the same with AI.𝗣𝗦- I generated this image with another AI tool, Midjourney. The prompt was ""Native American woman staring at the stars at night, little friendly bear by her side, ultra reality"".",17 minutes ago
Phoenix Growth,0,,,"ChatGPT is incredible. And I don't think we can ""outcompete it"" - that's stupid.Yesterday I saw a movie about a tribe of Neanderthals who find a Cro-Magnon girl. They hit her and are afraid of her, because she is more advanced and can master tools with more ease.𝐓𝐡𝐚𝐭 𝐡𝐚𝐬 𝐚𝐥𝐰𝐚𝐲𝐬 𝐛𝐞𝐞𝐧 𝐭𝐡𝐞 𝐜𝐨𝐦𝐩𝐞𝐭𝐢𝐭𝐢𝐯𝐞 𝐚𝐝𝐯𝐚𝐧𝐭𝐚𝐠𝐞 𝐨𝐟 𝐡𝐮𝐦𝐚𝐧𝐬: To master tools. Not to be THE tool ourselves.If you are a writer (I am), your superpower is not your ability to type. It is your ability to ideate and connect.And just as the human brain is composed of a reptilian, mammalian, and human (neo-cortex) section... I believe right now we are truly experiencing the birth of a new section of our brains.Only this time it is outside our bodies, it is the AI brain. A super mind we can tap into, and that will become an extension of us.A new type of human is being born... let's not be the old Neanderthals who perished at the hands of change because they rejected the new era. Our superpower has always been creating and mastering tools – so let's learn how to do the same with AI.𝗣𝗦- I generated this image with another AI tool, Midjourney. The prompt was ""Native American woman staring at the stars at night, little friendly bear by her side, ultra reality"".",17 minutes ago
Jackson Murphy,2,,,"Last night i was exploring the power of Midjourney AI. It took a bit of sloppy human and ham fisted prompting to get some interesting things. These are some of my favourite results worth sharing:Justin Trudeau playing in the World Baseball Classic, brand collaborations between Maille mustard and Topps Baseball cards, White Claw and Topps, a rye whiskey that presumably was aged in a barrel made of old baseball bats, a beard inspired sock brand and finally a midcentury modern baseball-themed hotel with views of a stadium.What do you think?#ai#midjourney#midjourneyai",19 minutes ago
Melanie Schuchard,0,,,"New generative AI tools are coming to#GoogleCloudand#GoogleWorkspace, giving individuals, devs, and businesses alike the power to do more. Learn more via Bloomberg",19 minutes ago
François ROUSSEL,0,,,#AI#businessideausing#midjourney🖋 Generate automatically beautifully crafted#fontsin seconds and sell them.This one's on me 👐,20 minutes ago
Architecture & Design,73,2 comments,1 repost,"AI inspired Jim Thompson House in Bangkok, generated by artist Hajar Ali.#architecture#nature#ai#artificialintelligence#midjourney#design",23 minutes ago
Kirk Wheeler,0,,,"Would you pay for a daily ""Sonic Spark"" sent to your inbox every morning?Let me know in the comments.This is a product test for Passfilter.I was able to set this up today in about 2 hours. Here is the stack I used.Hosting bySubstackChatGPT-4 byOpenAISpeech Synthesis (of my voice with 10 mins of training) byElevenLabsImage byMidjourneyIdea by me.",23 minutes ago
Rich Smith,4,,1 repost,"🎺🎺🎺I'm excited to announce that I'm now offering one-to-one AI consultation services to help you integrate artificial intelligence into your workflow, business, or personal life.It's clear that many people haven't yet realised the potential of AI tools. As someone who's been working with AI tech, and AI tools since 2019 and is passionate about this field, I'm here to help you stay ahead of the curve by providing one-on-one consultations. Whether you need ideas for AI implementation, want to refine your own concepts, or simply wish to discuss AI's impact on our world, yourself or your business, I'm eager to share my perspective.Why am I qualified? With real prompt engineering experience in AI image generation tools like Stable Diffusion and MidJourney, and GPT text-generation tools such as ChatGPT (ask me about how I trained ChatGPT on my own personality so I could have conversations with my artificial self, just as a ""fun"" experiment, haha), along with good general knowledge of the AI tech space and how the technology works, including it’s strengths and limitations, a background in Product/UX/UI design spanning 20 years, and qualifications in Psychology and Counselling, I can bring a unique perspective to the table. My passion for AI, along with my love for helping others and sharing knowledge, makes me the ideal partner for your AI journey.If you're interested in exploring the current, and future possibilities of AI together, please don't hesitate to reach out.Thank you!#futureofwork#aitools#aiservices#aiconsultation#aiconsultant#chatgpt#gpt3#gpt4#artificialintelligence#technology#ai#tech",24 minutes ago
Dogs & Cats Graphic Studio,1,,,"A dog will teach you unconditional love. If you can have that in your life, things won't be too bad.https://buff.ly/3weArRi#AiArt#AiDesign#AiGraphicDesign#ArtificialIntelligenceArt#ArtificialIntelligenceDesign#ArtificialIntelligenceGraphicDesign#MidJourney#MidJourneyArt#MidJourneyPrompt#MidJourneyPrompts#MidJourneyLibrary#MidJourneyAnimal#MidJourneyAnimals#MidJourneyCreation#MidJourneyCollection#MidJourneyDesign#MidJourneyPet#MidJourneyPets#MidJourneyDog#MidJourneyDogs#MidJourneyArtwork#AiArtPrompt#AiArtPrompts#MidJourneyEngineer#PromptEngineer#PromptEngineers#PromptEngineering",25 minutes ago
John Rector,0,,,Hives for humans#midjourney,25 minutes ago
Charbel Etel,0,,,"Ice cream, lollipops & chocolate. 🍭 🍫 🍦Interior design ideas for every sweet tooth generated through MidJourney AI.Which one is your favorite?#architecture#interiordesign#AI#midjourney#colorful",26 minutes ago
Impact Investing Solutions,0,,,Unlock the Power of Impact Marketing and Transform Your Social Business! Join our Impact Marketing Course and learn how to drive positive social change with the help of AI. We give the first 100 participants FREE access! Enroll now and start making a difference today!https://lnkd.in/dFZuXYSU,28 minutes ago
Leon Poojitha Jayasinghe,0,,,"The first picture shows a 1960 navigation hotline, a job that became obsolete after the invention of GPS. However, the technology itself created different jobs. The other pictures are generated using Midjourney, one of the latest text-to-image generative AI models. I hope this technology will also create new opportunities in the future.",28 minutes ago
Émile Lombrage,1,,,"Jour 39 : Photographe, un métier en voie d’extinction ?Les photos de ce post ont été réalisés par une Intelligence Artificielle(Oui, c’est incroyable)Elles ont été présentés par les développeurs de Midjourney, et ces résultats sont obtenus avec la V5, qui sera bientôt ouverte au public.Nous ne sommes pas au bout de nos surprises 🙈Comme Internet, l’I.A va changer en profondeur nos métiers.Personne n’est à l’abri.Vous n’êtes pas convaincu ?C’est normal.Mais comme me le ditMélanie Vacher, tout changement se déroule en cinq phases :Déni - ""Impossible""Colère - ""Ça fait chier 🤬""Dépression - ""Ça fait chier 😢""Acceptation - ""Ok, va falloir faire avec""Résilience (ou sublimation pour mes amis freudiens 😉) - ""Et si j'en faisais une force ?""L’I.A nous oblige à réagirJ'ai moi-même refusé d'utiliser ChatGPT pendant plusieurs semaines, mais maintenant j'ai un abonnement premium.Ne restons pas bloqué dans le tunnel des émotions.Imposons au plus vite usage sain de l’I.A, avant d’être engloutie par elle.*Journal intellectuel d’Émile Lombrage*",28 minutes ago
Jimmy Granlund,0,,,"Vilken vecka det ser ut att bli, GPT4 lanserat, samt även midjourney v5 på väg. Check it out.",29 minutes ago
René de Paula Jr.,0,,,"obrigado#midjourneypela ilustração do radinho ilustradíssimo de hoje com tantas figuras ilustres!   venha ouvir:   ""o invencível... peixe dourado! histórias deliciosas do Dom Pedro II, nós aceleramos a Terra???""https://buff.ly/3lhiEXU",29 minutes ago
Małgorzata M. Cysewska,0,,,"Zapraszam zainteresowane osoby do kontaktu w sprawie projektów.➡️ Radca prawny/adwokat/Zespół Fuzji i Przejęć/kancelaria/Warszawa➡️ Starszy Prawnik i Młodszy Prawnik/Zespół Doradztwa Podatkowego/kancelaria/Warszawa➡️ Specjalista ds. Prawnych/firma budowlana/Wrocław➡️ Konsultant podatkowy w zespole CIT/kancelaria/Wrocław➡️ Dyrektor/Zakład produkcyjny/poufna/Łódź➡️ Radca prawny/firma produkcyjna/S.A./woj. łódzkie📧malgorzata.cysewska@konsilantino.pl📞 502 238 112🧐 Zapraszam firmy do współpracy:https://lnkd.in/dtnjh8f9Grafika (więcej podobnych na stronie poniżej :):źródło: Zaufaj mi, jestem rekruterem:https://lnkd.in/djHFcgVVhttps://lnkd.in/dmxbqzkJCredit: Ehab Ahmed Tawfik#AI#midjourneyhttps://lnkd.in/dUYr-nRT#pracadlaprawnika#legalrecruitment#rekrutacjeprawne#pracawpodatkach#specjalistadspodatków#doradcapodatkowy",30 minutes ago
adrien ramirez,0,,,👨‍🚀 AI x Astronaute 🚀#worlds#Midjourney#AI#Creativity,31 minutes ago
Scott Bowler,0,1 comment,,"""Girls in renaissance tracksuits"" - no doubtVersacewishes they'd come up with this prompt first...These images demonstrate to me the power of visual AI tools likeMidjourney. If you can imagine it, you can get AI to visualise it in seconds.The world of AI isn't just ChatGPT - there are so many other tools out there that are relevant to your industry.Source of images in the comments 👇#ai#power#midjourney#dalle#stablediffusion",32 minutes ago
Larry Royce,1,,,"""[Google's] AI announcements represent the culmination of many years of work, including bringing together Transformer technology advances in reinforcement learning and advances in parallelism and orchestrating large training workloads""— Thomas Kurian",33 minutes ago
Bas Waijers,14,3 comments,,"The water tastes funny! :: “New York's water is delicious—and filled with tiny crustaceans called ""copepods"" (From Gizmodo 2010-08-31) What else roams around in our drinkwater? I asked Mijo and her micro-vision power visualized an entire group of species never seen before. I’m going to stick to bottled water :)#aiart#aicc#bastopia#midjourney#midjourneycreativecommunity",35 minutes ago
Balaji Desikan,0,,,"""[Google's] AI announcements represent the culmination of many years of work, including bringing together Transformer technology advances in reinforcement learning and advances in parallelism and orchestrating large training workloads""— Thomas Kurian",35 minutes ago
Pavan Marpaka,0,,,"Today#GoogleCloudannounced new partnerships, programs and resources covering every layer of the#AIstack. Our approach is open, enabling organizations to more easily access and innovate with#generativeAI",36 minutes ago
Jennifer Hotai,1,,,"ChatGPT prompt: ""Write a LinkedIn post that describes how a growing city like Myrtle Beach can benefit from being a smart city, with blockchain and metaverse technology.""💡As Myrtle Beach continues to grow and attract more visitors and residents, there's an opportunity to leverage technology to enhance the city's infrastructure and services. Imagine a city that can offer personalized experiences to its visitors, optimize its transportation systems, and ensure that its residents have access to secure and reliable digital services.👉🏽That's where being a smart city comes in, and blockchain and metaverse technology can play a key role in making that vision a reality.💎Blockchain technology can help establish secure and transparent systems for managing transactions, such as property purchases and public services. This can help reduce bureaucracy and streamline processes, ultimately leading to a more efficient and effective city government.💎Additionally, the use of blockchain can enhance cybersecurity, protecting the city's sensitive data from hackers and other malicious actors.💎Metaverse technology can offer unique opportunities for tourism and entertainment in Myrtle Beach. Visitors could explore virtual versions of the city's attractions before even arriving, creating a sense of excitement and anticipation. Once they arrive, they could use augmented reality (AR) and virtual reality (VR) experiences to enhance their visit and learn more about the city's history and culture.💎Furthermore, metaverse technology can help promote economic development by offering new opportunities for businesses. Virtual storefronts and marketplaces could be established, allowing businesses to expand their reach beyond the physical limitations of their brick-and-mortar locations.💎In short, the benefits of becoming a smart city with blockchain and metaverse technology are numerous and far-reaching. By embracing these innovations, Myrtle Beach can establish itself as a leader in the digital age, offering a unique and exciting experience to its visitors and residents alike.*Image generated in Midjourney#smartcity#blockchain#web3#metaverse#metaversetechnology#vr#ar#immersivetechnology#xr#extendedreality#tech#myrtlebeach#chatgpt#tourism#cybersecurityCity of Myrtle Beach",36 minutes ago
Balaji Desikan,0,,,"New generative AI tools are coming to#GoogleCloudand#GoogleWorkspace, giving individuals, devs, and businesses alike the power to do more. Learn more via Bloomberg",35 minutes ago
Daniel Beduschi,3,,,Midjourney e a qualidade impecável de suas fotografias. Quer saber o prompt? Curte e comente!,37 minutes ago
Joshua Wilson,0,,,"New generative AI tools are coming to#GoogleCloudand#GoogleWorkspace, giving individuals, devs, and businesses alike the power to do more. Learn more via Bloomberg",37 minutes ago
Pavan Marpaka,0,,,"Learn how ""Google aims for its#AIto 'transform' the work of marketers, lawyers, scientists, and educators,"" via Reuters ↓#generativeAI#largelanguagemodels",36 minutes ago
Guillaume Maiano,0,1 comment,,"Petite prédiction. Si j'ai tort, je mange un paquet de cacahuètes au wasabi.Raisonnement:MidJourney et GPT-3.5 sont très doués pour donner l'illusion de la compétence, mais comme ils ne comprennent pas vraiment le contexte, ils réalisent des créations potentiellement crédibles et gravement erronées.Prédiction: GPT-4 et ses successeurs commettront des erreurs difficiles à déceler et gravissimes qui tueront certaines des sociétés avides de profits qui ne pourront éviter de s'en servir.Échéance: je dirais d'ici cinq ans maximum.Illustration en mode 13ème légion de Warhammer 40K.#ai#computersaredumb",37 minutes ago
Nolan Ether,7,4 comments,,"With the release of GPT-4 yesterday, today you’re seeing all kinds of incredible (and possibly kind of frightening) demos of what this#AIcan do. 🤯😬If you thought tools like#ChatGPTandMidjourneysparked conversation and debate about the role of human beings moving forward, there’s no doubt that things will soon reach a fever pitch.For those that hadn’t already realized just how fast this is all happening and going to continue to happen, that lightbulb is likely going off for people all around the globe today. 💡But I think that this old clip from Steve Jobs will continue to hold true.One of the things that seperates human beings from every other species on the planet is our ability to build and leverage tools that augment our natural capabilities.We’ve been doing it since…the discovery of firethe creation of the wheeldomesticating animalsthe printing pressthe plowthe automobilethe tractorthe telephonethe PCthe mobile phone…and on it goes.Innovations like GPT-4 will undoubtedly change the way we all live forever. But will it replace us, or simply free us and our minds up to focus on the more difficult problems or creative pursuits?What do you think??? 🤔💭—-#AI#generativeai#chatgpt#gpt4",38 minutes ago
Natasja Scheerschmidt,2,,,"New generative AI tools are coming to#GoogleCloudand#GoogleWorkspace, giving individuals, devs, and businesses alike the power to do more. Learn more via Bloomberg",38 minutes ago
